State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)","Bhindi(Ladies Finger)",Bhindi,FAQ,12/09/2025,6000,6500,6200
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Cucumbar(Kheera),Cucumbar,FAQ,12/09/2025,3000,4000,3500
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)","Mousambi(Sweet Lime)",Mousambi,Medium,12/09/2025,4500,5000,4700
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Papaya,Other,Medium,12/09/2025,3000,3500,3200
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)",Pineapple,Other,Medium,12/09/2025,4500,5000,4700
"Himachal Pradesh",Kangra,"Kangra(Nagrota Bagwan)","Sponge gourd",Other,FAQ,12/09/2025,4000,4500,4200
"Himachal Pradesh",Kangra,Palampur,"Bottle gourd","Bottle Gourd",FAQ,12/09/2025,5000,8000,6500
"Himachal Pradesh",Kangra,Palampur,Cabbage,Cabbage,FAQ,12/09/2025,2500,3000,2700
"Himachal Pradesh",Kangra,Palampur,"French Beans (Frasbean)",Other,FAQ,12/09/2025,9000,10000,9500
"Himachal Pradesh",Kangra,Palampur,Garlic,Average,FAQ,12/09/2025,9000,10000,9500
"Himachal Pradesh",Kangra,Palampur,"Green Chilli","Green Chilly",FAQ,12/09/2025,4500,5000,4700
"Himachal Pradesh",Kangra,Palampur,Lemon,Other,FAQ,12/09/2025,5500,6000,5700
"Himachal Pradesh",Kangra,Palampur,Potato,Other,FAQ,12/09/2025,1200,2400,2000
"Himachal Pradesh",Kangra,Palampur,Tomato,Tomato,FAQ,12/09/2025,2500,2600,2550
"Himachal Pradesh",Solan,Solan(Nalagarh),Potato,Other,FAQ,12/09/2025,1200,1500,1300
"Himachal Pradesh",Solan,Waknaghat,"French Beans (Frasbean)","French Beans (Frasbean)",FAQ,12/09/2025,6000,6000,6000
"Himachal Pradesh",Solan,Waknaghat,Tomato,Deshi,FAQ,12/09/2025,400,1200,1200
Karnataka,Bangalore,Ramanagara,"Bhindi(Ladies Finger)",Bhindi,Local,12/09/2025,2000,3000,2400
Karnataka,Bangalore,Ramanagara,Capsicum,Capsicum,Local,12/09/2025,4000,5500,5000
Karnataka,Bangalore,Ramanagara,Cauliflower,Cauliflower,Local,12/09/2025,1400,2000,1600
Karnataka,Bangalore,Ramanagara,Seemebadnekai,Seemebadanekai,Local,12/09/2025,800,1200,1000
Karnataka,Belgaum,Kudchi,"Black Gram (Urd Beans)(Whole)","Black Gram (Whole)",Local,12/09/2025,0,0,5000
Karnataka,Chamrajnagar,"Chamaraj Nagar",Beetroot,Beetroot,Local,12/09/2025,800,1000,900
Karnataka,Chamrajnagar,"Chamaraj Nagar",Carrot,Carrot,Local,12/09/2025,2000,2500,2300
Karnataka,"Karwar(Uttar Kannad)",Haliyala,Paddy(Dhan)(Common),"Paddy Medium",Local,12/09/2025,2300,2600,2400
Karnataka,Kolar,Chintamani,Beans,"Beans (Whole)",Local,12/09/2025,2000,3000,2500
Karnataka,Kolar,Chintamani,Beetroot,Beetroot,Local,12/09/2025,1000,2000,1500
Karnataka,Kolar,Chintamani,"Knool Khol","Knool Khol",Local,12/09/2025,1500,2500,2000
